,Unnamed: 0,id_unic,business_id,local_name,category,main_category,opinion,feeling,resp,has_response,states,city
53,53,108050453,0x80952f9ea08e834f:0x27de00be193d55,The Corner Café,cafe    restaurant,food_services,"They have speedy attentive service, tastefully fresh food, great portions, nice priced specials, and friendly staff. This place is a prime example of 5 stars. I only advise to not going during hot hours because theyll be packed.",Positive,did not answer,no,CA, CA 93291
54,54,106326204,0x80952f9ea08e834f:0x27de00be193d55,The Corner Café,cafe    restaurant,food_services,Good food,Positive,did not answer,no,CA, CA 93291
55,55,108758818,0x80952f9ea08e834f:0x27de00be193d55,The Corner Café,cafe    restaurant,food_services,Wife went into get some oatmeal. Came out with a big smile. Loved her oatmeal...,Positive,did not answer,no,CA, CA 93291
56,56,103677335,0x80952f9ea08e834f:0x27de00be193d55,The Corner Café,cafe    restaurant,food_services,"Generous portions, delicious food",Positive,did not answer,no,CA, CA 93291
57,57,105286423,0x80952f9ea08e834f:0x27de00be193d55,The Corner Café,cafe    restaurant,food_services,"Great service, yummy food!",Positive,did not answer,no,CA, CA 93291
58,58,116252225,0x80952f9ea08e834f:0x27de00be193d55,The Corner Café,cafe    restaurant,food_services,All i have to say is tge food is AMAZING!! The staff if so welcoming we always feel at home.,Positive,did not answer,no,CA, CA 93291
59,59,112708575,0x80952f9ea08e834f:0x27de00be193d55,The Corner Café,cafe    restaurant,food_services,good hot home style food,Positive,did not answer,no,CA, CA 93291
60,60,113573467,0x80952f9ea08e834f:0x27de00be193d55,The Corner Café,cafe    restaurant,food_services,"I have been a fan of the home made sausage patties for almost 5 years. Although --- The recipe ALMOST SEEMS to be the same, except its missing those key little ingredients that use to set it apart from the rest. The patty I was served was a little dry, thin and flat instead of thick & juicy with visible seeds & spices . The original taste and Quality has gone down and Their prices have gone up since they moved over to this new location. Average cost of a basic plate for breakfast , a The License Plate Wall is how my kids know this place. It is big, clean and just a really nice comfortable atmosphere unless you sit at the diner style counter. Theres alot of movement and noise due to the waitresses picking up their orders. So its not the best place to sit if your reading something. Another thing that has changed is the biscuits and gravey. Biscuits are NOT HOMEMADE anymore. Salsa has changed and tastes like a glop of squished can tomatoes.",Positive,did not answer,no,CA, CA 93291
61,61,111183346,0x80952f9ea08e834f:0x27de00be193d55,The Corner Café,cafe    restaurant,food_services,Excellent breakfast!,Positive,did not answer,no,CA, CA 93291
62,62,107490642,0x809ac9f2d0c654af:0x22eb7144bfb879,Mountain Mike's Pizza,pizza restaurant    pizza delivery    pizza takeout,food_services,Good pizza. Good service.,Positive,did not answer,no,CA, Elk Grove
64,64,105400216,0x809adda1580f6c0d:0xb596391e27a5ae,Cali Bowl Teriyaki,restaurant,food_services,"Food is good and the place is clean and nicely decorated. My hubby likes the sesame chicken and I love the Bulgogi, so delish! The staff are really friendly too.",Positive,did not answer,no,CA, Rancho Cordova
66,66,117354834,0x80c288fa9cc29ac7:0x2e15361caeab9e,Micheladas Mexican Grill,mexican restaurant,food_services,"Food was great, staff was great, and the best part was getting our food about 10 min after we ordered!",Positive,did not answer,no,CA, CA 91387
67,67,116227384,0x80c288fa9cc29ac7:0x2e15361caeab9e,Micheladas Mexican Grill,mexican restaurant,food_services,"My husband and I love this place! Its small so its not loud and nerve wracking when were enjoying our delicous food here. The atmosphere and the employees are REALLY great. We always receive a hello from them when we come through the door. The food is just delicous. I love the lime marinated pork. Our order is always right. The service is great and always with a smile. They have taco Tuesdays and we eat there every Tuesday. I love their tacos!!! We have found our new favorite restaurant and Im so happy! We walk there since we live next door. I cant say enough good things about this place. I keep forgetting to get the owners name, but hes on site and friendly. I really like him. I HIGHLY recommend this place to anyone looking for great tasting Mexican food at very reasonable prices.",Positive,did not answer,no,CA, CA 91387
68,68,112756807,0x80c288fa9cc29ac7:0x2e15361caeab9e,Micheladas Mexican Grill,mexican restaurant,food_services,"We walked into this restaurant with uncertainty but ended up leaving with a full belly and colgate smiles. The menu is well written with lots of choices for any mood and the drink list is like no other within the Santa Clarita Valley when it comes to micheladas and margaritas. Besides the food and drinks being a staple, the waitresses really bring out the wow factor. Perla was very friendly when my girlfriend, her brother, and I came here for the first time. We tried several drinks and she recommended some very delicious food. The service and attention to detail she provided is top notch and I would recommend anyone to come eat here. Family and wallet friendly!",Positive,did not answer,no,CA, CA 91387
69,69,117354834,0x80c288fa9cc29ac7:0x2e15361caeab9e,Micheladas Mexican Grill,mexican restaurant,food_services,"Food was great, staff was great, and the best part was getting our food about 10 min after we ordered!",Positive,did not answer,no,CA, CA 91387
71,71,101698194,0x80c288fa9cc29ac7:0x2e15361caeab9e,Micheladas Mexican Grill,mexican restaurant,food_services,"Delicious food, great drinks, fantastic service!",Positive,did not answer,no,CA, CA 91387
72,72,103723309,0x80c288fa9cc29ac7:0x2e15361caeab9e,Micheladas Mexican Grill,mexican restaurant,food_services,Food was great and tasty and hot. Service was also great and with a smile. It was our first time there and we will definitely be going back. The menu has a good variety as well.,Positive,did not answer,no,CA, CA 91387
73,73,116230421,0x80c295f4727e0671:0x15787efd178378,Hoke Poke,hawaiian restaurant    restaurant,food_services,"Great bowls, a bit on the pricy side, but thats usually the price for good poke.",Positive,did not answer,no,CA, North Hollywood
74,74,104882634,0x80c295f4727e0671:0x15787efd178378,Hoke Poke,hawaiian restaurant    restaurant,food_services,Im generally NOT a big fan of pop up popular new eateries. Because LA is absolutely loaded with places to get ya eat on. Places sadly explode. Taper off and eventually go away. This place as previously mentioned is killer. Staff are cool young upbeat and the food is really good. How authentic it is. I do not know this was my first Hawaiian joint. But worth a shot check em out yo! X,Positive,did not answer,no,CA, North Hollywood
75,75,113164909,0x80c2c00c30bd6dd5:0xaa11276170d9ec,Little Ground,restaurant,food_services,So far I had a great tasting latte (couple of months ago). Just recently revisited and got lunch(es) lol The turkey sandwich and kale salad are delicious and both are shareable. They serve a good amount for a reasonable price. The baking goods are yummy as well. Give a try and visit them soon! They are only open Mon - Fri daytime,Positive,did not answer,no,CA, Glendale
76,76,103786048,0x80c2c00c30bd6dd5:0xaa11276170d9ec,Little Ground,restaurant,food_services,great spot to grab a quick drink or to relax in their cozy patio area.,Positive,did not answer,no,CA, Glendale
77,77,1053551,0x80c2c00c30bd6dd5:0xaa11276170d9ec,Little Ground,restaurant,food_services,All the baked good are made on site each morning.,Positive,did not answer,no,CA, Glendale
78,78,105696658,0x80c2c104b0310dfb:0x2fe038a443e8ad,Roobic's Cafe,restaurant    barbecue restaurant    caterer    mediterranean restaurant    vegan restaurant    vegetarian restaurant,food_services,Really good food and good service!!!,Positive,did not answer,no,CA, Glendale
79,79,104821001,0x80c2c7f16d842349:0xe9f6caa32400e9,Leonardo's Vermont,live music venue    restaurant,food_services,(Translated by Google) Very good atmosphere and music (Original) Muy buen ambiente y música,Positive,did not answer,no,CA, Los Angeles
80,80,109886659,0x80c2c7f16d842349:0xe9f6caa32400e9,Leonardo's Vermont,live music venue    restaurant,food_services,(Translated by Google) Good atmosphere (Original) Buen ambiente,Positive,did not answer,no,CA, Los Angeles
81,81,110688593,0x80c2c7f16d842349:0xe9f6caa32400e9,Leonardo's Vermont,live music venue    restaurant,food_services,(Translated by Google) Eselent (Original) Eselent,Positive,did not answer,no,CA, Los Angeles
84,84,11203825,0x80c2c7f16d842349:0xe9f6caa32400e9,Leonardo's Vermont,live music venue    restaurant,food_services,Great service,Positive,did not answer,no,CA, Los Angeles
87,87,11474279,0x80c2d0b5d708d4f9:0x131e16cd15dbf3,China Express,chinese restaurant    fast food restaurant,food_services,This restaurant is my favorite. I eat in plenty of restaurants but to this place I go the most. The team is very cordial and the cuisine they serve is so appetizing. I never miss an opportunity to have a nice meal in this restaurant. I recommend this place with pleasure.,Positive,did not answer,no,CA, El Monte
88,88,102782801,0x80d94cf6a82115e7:0x7c5bb97dc1feeb,Subway,sandwich shop    caterer    fast food restaurant    takeout restaurant    restaurant,food_services,Steak and garlic butter sub was good.. but need to add veggies... They wont let you put them on. Not an option...PLEASE CHANGE,Positive,did not answer,no,CA, Imperial Beach
89,89,115085591,0x80d94cf6a82115e7:0x7c5bb97dc1feeb,Subway,sandwich shop    caterer    fast food restaurant    takeout restaurant    restaurant,food_services,Good,Positive,did not answer,no,CA, Imperial Beach
90,90,114434056,0x80d954d487d7f383:0x87684162f68987,Cafe Bleu,fine dining restaurant,food_services,Good food,Positive,did not answer,no,CA, San Diego
91,91,106084968,0x80d954d487d7f383:0x87684162f68987,Cafe Bleu,fine dining restaurant,food_services,"If you are looking for a classy, delicious meal that wont break the bank, this is the spot! A few girl friends and I found this for our girls night out. It was great because we each got impressively scrumptious food and wine for such a reasonable price! The menu may be limited, but every item we tried was well thought out, prepared beautifully and absolutely delicious! The service was also top of the line! I felt like we were at a five star restaurant.",Positive,did not answer,no,CA, San Diego
92,92,109771764,0x80dcde3b589aa30d:0x308adef2befba1,Flower Child,health food restaurant,food_services,"First time coming here, Thank You for having a keto option! I loved their turkey zucchini lasagna.",Positive,did not answer,no,CA, Newport Beach
94,94,104660636,0x80dcdf1bd51663d9:0xb8693c9f3dffcd,East Borough,vietnamese restaurant,food_services,The pork belly bowl is really good.,Positive,did not answer,no,CA, Costa Mesa
95,95,106690246,0x80dcdf1bd51663d9:0xb8693c9f3dffcd,East Borough,vietnamese restaurant,food_services,Portland street style food with great sauces!,Positive,did not answer,no,CA, Costa Mesa
96,96,101055968,0x80dd2b58fb2d319d:0xeb03884460b585,Heritage Café,cafe,food_services,Friendly quick service.,Positive,did not answer,no,CA, La Mirada
97,97,1111397,0x80dd33ad516b8523:0x398a9a552228f5,McDonald's,fast food restaurant    breakfast restaurant    coffee shop    hamburger restaurant    restaurant    sandwich shop,food_services,"Its a small place, nice personal. But do to the Covid-19 is Long waiting.",Positive,did not answer,no,CA, Lakewood
98,98,103914565,0x80dd3429cf783d7f:0x4ca24e71db9d8a,Tacos El Puma,mexican restaurant,food_services,"(Translated by Google) The absolute best food in the hands-down area. The people who work there are the best too. An added bonus is the beautiful and sexy white latin girl who works at night. But maybe its just because I have a weakness for latina woman of all complexions but she is enchantingly sexy./ The absolute best food in the area without a doubt. The people who work there are also the best. An additional advantage is the beautiful and sexy little girl who works at night. But maybe its just me because I have a weakness for the Latina woman in all aspects, but she is incredibly sexy. (Original) The absolute best food in the area hands down. The people who work there are the best too. An added bonus is the beautiful and sexy white latina girl who works at night. But maybe its just me because I have a weakness for latina woman of all complexions but she is enchantingly sexy./ La mejor comida absoluta en la zona sin duda. Las personas que trabajan allí también son las mejores. Una ventaja adicional es la hermosa y sexy güerita que trabaja de noche. Pero tal vez solo soy yo porque tengo una debilidad por la mujer latina de todos los aspectos, pero ella es increíblemente sexy.",Positive,did not answer,no,CA, Wilmington
99,99,108035555,0x8639305dfcd4588f:0x3aad1ff59f219d,Rafael's Mexican Restaurant,mexican restaurant,food_services,Pretty decent food. No horrors await you here. Nice people.,Positive,did not answer,no,TX, Lumberton
100,100,107318018,0x8640a37f23116b49:0xf63805394da580,Szechwan Wok,sichuan restaurant    restaurant,food_services,Good food...great prices,Positive,did not answer,no,TX, TX 77015
103,103,111735011,0x8640a37f23116b49:0xf63805394da580,Szechwan Wok,sichuan restaurant    restaurant,food_services,Great atmosphere and very clean restaurant. First time visiting.,Positive,did not answer,no,TX, TX 77015
104,104,114742832,0x8640a37f23116b49:0xf63805394da580,Szechwan Wok,sichuan restaurant    restaurant,food_services,The food is really good and the amount they serve is good as well. The prices are awesome!!!,Positive,did not answer,no,TX, TX 77015
105,105,111464049,0x8640a37f23116b49:0xf63805394da580,Szechwan Wok,sichuan restaurant    restaurant,food_services,Good food!! Very friendly with great customer service,Positive,did not answer,no,TX, TX 77015
107,107,107668812,0x8640d3754b53d859:0xf35ec6f8cccdd3,TaD's Louisiana food,restaurant,food_services,Food good except grits!,Positive,did not answer,no,TX, Cypress
108,108,115469952,0x8644b50f74856711:0x10bb448a82f8e7,Le Politique,french restaurant,food_services,I was surprised how much I loved this place. Food service was a tad slow -- but everything was absolutely delicious. Wine list was also excellent. Will be back.,Positive,did not answer,no,TX, TX 78701
109,109,112808712,0x8644b50f74856711:0x10bb448a82f8e7,Le Politique,french restaurant,food_services,"The restaurant is fancy and the ambiance is very good. So is the service! However, I did not enjoy the food. I had crepe and lentil soup. May be the ingredients were fresh but it wasnt great on taste. Food doesnt live up to its price on the menu.",Positive,"Amey, Im sorry you did not have a good experience with us, that is not what our standard is. Could you provide more detail as to what happened with your meal? Please email me at Amber.Anderson@lepolitiqueaustin.com and let me know what occurred during your dining experience.",si,TX, TX 78701
110,110,11027557,0x8644b50f74856711:0x10bb448a82f8e7,Le Politique,french restaurant,food_services,"Love the atmosphere, fantastic service and very good food. The Dover Sole de-boned tableside is spectacular.",Positive,Thank you Susan!! Please come back to see us again soon!,si,TX, TX 78701
112,112,111382394,0x8644b50f74856711:0x10bb448a82f8e7,Le Politique,french restaurant,food_services,Love the pastries!,Positive,did not answer,no,TX, TX 78701
114,114,1181291,0x8644b50f74856711:0x10bb448a82f8e7,Le Politique,french restaurant,food_services,Great place for brunch/lunch.,Positive,did not answer,no,TX, TX 78701
116,116,100445679,0x8644b50f74856711:0x10bb448a82f8e7,Le Politique,french restaurant,food_services,"An out of town friend and I did our birthday month dinner here and it was absolutely fabulous! From the ambiance, to the decor, to the food/drinks, and especially the service, this place became one of my handsdown favs in Austin! We ordered a bottle of bubbly (natch) and we killed it, but our waitstaff never let us see the bottom of our glasses and it was served perfectly cold each pour! The waitstaff here is what really made the meal, imho! The collaboration between everyone was phenomenal and I loved that I think we got to meet each one of the waitstaff during our meal and each and every one was an absolute delight! The food itself was all fantastic! We got full off our apps and charcuterie board, so I def want to return and give their entrees a full perusing! The waitstaff were also so sweet to do a little bday dessert w/macarons and a candle and signed cards! It really made us feel special! My friend and I loved our desserts and loved that they had cognac & banyuls! Such an amazing experience that I cant wait to go back!",Positive,did not answer,no,TX, TX 78701
117,117,108627458,0x8644b50f74856711:0x10bb448a82f8e7,Le Politique,french restaurant,food_services,Great food but I got wheat toast with my charcuterie board and it seemed cheap and lazy.,Positive,did not answer,no,TX, TX 78701
118,118,111902798,0x8644b50f74856711:0x10bb448a82f8e7,Le Politique,french restaurant,food_services,We just popped in for dessert and the bartender recommended the lemon tarte (which probably had a much fancier name) and the cheese platter. Both were SO yummy! The atmosphere of the restaurant is quaint & I felt like I really was in a French cafe!☺,Positive,did not answer,no,TX, TX 78701
119,119,117631281,0x8644b50f74856711:0x10bb448a82f8e7,Le Politique,french restaurant,food_services,"My husband and I there for brunch last Sunday, and all I can say is: meh. The service was incredibly slow, and our waiter seemed to be taking plenty of time taking care of other customers while we patiently waited, and it wasn’t really busy at all. We ultimately had to ask another waiter to even bring us the check! The food was ok, to be honest leaning to sub-par for the hype. In general, the service was the dealbreaker for me, we even came back later for coffee at the pâtisserie, and the server was very rude... anyway, would not be back nor I would recommend.",Positive,"Hi Pamela, Im sorry to hear about your experiences with us this weekend. Although we preach a team service mentality that promotes multiple people servicing one table, you and your husband should not have felt forgotten if we were operating error free. I would love to talk with you about things you noticed in an effort for us to improve, but truly hope that any efforts on our part are not too late with you and your husband. Please, feel free to reach out to me through our info@lepolitiqueaustin.com to discuss further, Ill be looking for your email.",si,TX, TX 78701
120,120,103906959,0x8644b50f74856711:0x10bb448a82f8e7,Le Politique,french restaurant,food_services,Great service and beautiful restaurant but the food was just ok.,Positive,did not answer,no,TX, TX 78701
121,121,101997755,0x8644b50f74856711:0x10bb448a82f8e7,Le Politique,french restaurant,food_services,Beautiful place and great service. I rate it with 4 stars bc its too noisy and the music is very loud for brunch. Benedicts are amazing!,Positive,did not answer,no,TX, TX 78701
122,122,11633174,0x8644b50f74856711:0x10bb448a82f8e7,Le Politique,french restaurant,food_services,Its a little slice of French heaven!! Ask for Scott in the bar. Hes awesome!!,Positive,did not answer,no,TX, TX 78701
123,123,113555795,0x8644b50f74856711:0x10bb448a82f8e7,Le Politique,french restaurant,food_services,Great place food was good and also the service.,Positive,did not answer,no,TX, TX 78701
124,124,101979605,0x8644b50f74856711:0x10bb448a82f8e7,Le Politique,french restaurant,food_services,Service is spotty. Food is okay. Nice location and atmosphere.,Positive,did not answer,no,TX, TX 78701
125,125,117772137,0x8644ca0dfac3cac5:0x643f03f2791602,Your Mom's Burger Kit,delivery restaurant,food_services,Great stuffed burgers and a really nice remodel of the building.,Positive,did not answer,no,TX, Austin
127,127,108004479,0x8647088ce0c15777:0xa526126e8dbca5,Costa Del Sol Food Truck,salvadoran restaurant,food_services,Good prices good food,Positive,did not answer,no,TX, Huntsville
128,128,101796099,0x8647088ce0c15777:0xa526126e8dbca5,Costa Del Sol Food Truck,salvadoran restaurant,food_services,These are the best Tacos and Pupusas i have had in a while. There service is excellent. I would post pictures of my food but I already ate them 🤩🤩🤩🤩🤩,Positive,did not answer,no,TX, Huntsville
129,129,106790174,0x86473557d12e8943:0x36f64fc9aa4391,So Veganly,organic food store    organic restaurant    vegan restaurant,food_services,Good food & good service.,Positive,did not answer,no,TX, Spring
